date,symbol,news_count,avg_sentiment
2023-07-27,EURUSD,38,0.092113
2023-07-27,GBPUSD,0,0.000000
2023-07-27,USDJPY,3,0.826267
2023-07-27,AUDUSD,8,0.519513
2023-07-27,USDCAD,7,0.133829
2023-07-27,XAUUSD,1,0.976400
2023-07-28,EURUSD,23,0.013865
2023-07-28,GBPUSD,0,0.000000
2023-07-28,USDJPY,17,0.217176
2023-07-28,AUDUSD,11,0.123618
2023-07-28,USDCAD,7,0.085886
2023-07-28,XAUUSD,1,0.967400
2023-07-29,EURUSD,0,0.000000
2023-07-29,GBPUSD,0,0.000000
2023-07-29,USDJPY,0,0.000000
2023-07-29,AUDUSD,0,0.000000
2023-07-29,USDCAD,0,0.000000
2023-07-29,XAUUSD,0,0.000000
2023-07-30,EURUSD,1,-0.202300
2023-07-30,GBPUSD,0,0.000000
2023-07-30,USDJPY,0,0.000000
2023-07-30,AUDUSD,1,0.136600
2023-07-30,USDCAD,0,0.000000
2023-07-30,XAUUSD,1,0.792900
2023-07-31,EURUSD,22,0.154505
2023-07-31,GBPUSD,0,0.000000
2023-07-31,USDJPY,5,0.922820
2023-07-31,AUDUSD,7,0.162700
2023-07-31,USDCAD,8,0.092850
2023-07-31,XAUUSD,0,0.000000
2023-08-01,EURUSD,16,-0.027175
2023-08-01,GBPUSD,0,0.000000
2023-08-01,USDJPY,5,0.264880
2023-08-01,AUDUSD,17,0.191035
2023-08-01,USDCAD,9,0.303611
2023-08-01,XAUUSD,3,0.048633
2023-08-02,EURUSD,24,-0.024933
2023-08-02,GBPUSD,0,0.000000
2023-08-02,USDJPY,4,0.378825
2023-08-02,AUDUSD,9,-0.205533
2023-08-02,USDCAD,8,0.168262
2023-08-02,XAUUSD,0,0.000000
2023-08-03,EURUSD,23,0.213039
2023-08-03,GBPUSD,8,0.216362
2023-08-03,USDJPY,3,0.435700
2023-08-03,AUDUSD,11,0.030864
2023-08-03,USDCAD,10,-0.145970
2023-08-03,XAUUSD,0,0.000000
2023-08-04,EURUSD,31,0.080752
2023-08-04,GBPUSD,17,0.466371
2023-08-04,USDJPY,5,0.821960
2023-08-04,AUDUSD,11,0.470700
2023-08-04,USDCAD,8,0.221037
2023-08-04,XAUUSD,3,0.774133
2023-08-05,EURUSD,0,0.000000
2023-08-05,GBPUSD,0,0.000000
2023-08-05,USDJPY,0,0.000000
2023-08-05,AUDUSD,0,0.000000
2023-08-05,USDCAD,0,0.000000
2023-08-05,XAUUSD,0,0.000000
2023-08-06,EURUSD,1,-0.709600
2023-08-06,GBPUSD,1,-0.476700
2023-08-06,USDJPY,0,0.000000
2023-08-06,AUDUSD,1,-0.557400
2023-08-06,USDCAD,0,0.000000
2023-08-06,XAUUSD,0,0.000000
2023-08-07,EURUSD,26,0.145465
2023-08-07,GBPUSD,13,-0.040623
2023-08-07,USDJPY,4,0.462875
2023-08-07,AUDUSD,10,0.270870
2023-08-07,USDCAD,8,-0.079088
2023-08-07,XAUUSD,1,0.696600
2023-08-08,EURUSD,27,-0.139122
2023-08-08,GBPUSD,19,-0.053095
2023-08-08,USDJPY,2,0.858100
2023-08-08,AUDUSD,15,-0.028980
2023-08-08,USDCAD,8,-0.030412
2023-08-08,XAUUSD,7,0.935629
2023-08-09,EURUSD,24,-0.036913
2023-08-09,GBPUSD,19,0.115753
2023-08-09,USDJPY,1,0.604100
2023-08-09,AUDUSD,13,0.214162
2023-08-09,USDCAD,7,0.145757
2023-08-09,XAUUSD,2,0.549200
2023-08-10,EURUSD,29,0.159103
2023-08-10,GBPUSD,20,0.085170
2023-08-10,USDJPY,4,0.559200
2023-08-10,AUDUSD,9,0.094567
2023-08-10,USDCAD,9,0.030756
2023-08-10,XAUUSD,2,-0.076350
2023-08-11,EURUSD,23,0.048591
2023-08-11,GBPUSD,23,0.134661
2023-08-11,USDJPY,11,0.836236
2023-08-11,AUDUSD,9,0.150067
2023-08-11,USDCAD,7,-0.144171
2023-08-11,XAUUSD,3,0.359433
2023-08-12,EURUSD,6,0.039600
2023-08-12,GBPUSD,4,-0.006750
2023-08-12,USDJPY,0,0.000000
2023-08-12,AUDUSD,3,0.285533
2023-08-12,USDCAD,1,0.284600
2023-08-12,XAUUSD,1,0.957800
2023-08-13,EURUSD,1,-0.458800
2023-08-13,GBPUSD,2,-0.309750
2023-08-13,USDJPY,1,-0.953800
2023-08-13,AUDUSD,1,0.648600
2023-08-13,USDCAD,1,-0.557400
2023-08-13,XAUUSD,0,0.000000
2023-08-14,EURUSD,26,-0.122815
2023-08-14,GBPUSD,18,-0.000878
2023-08-14,USDJPY,7,-0.366543
2023-08-14,AUDUSD,12,-0.092492
2023-08-14,USDCAD,6,0.405067
2023-08-14,XAUUSD,0,0.000000
2023-08-15,EURUSD,17,0.107953
2023-08-15,GBPUSD,24,0.125483
2023-08-15,USDJPY,5,-0.166560
2023-08-15,AUDUSD,14,0.033264
2023-08-15,USDCAD,7,0.286100
2023-08-15,XAUUSD,1,0.318200
2023-08-16,EURUSD,34,0.133876
2023-08-16,GBPUSD,28,0.076704
